Planting 2024 Bell Road,,,,,,,,,,DVC-1/DET-36/DDI-01AB,DVC-1/DET-36/DDI-EA62,DVC-1/DET-36/DDI-EA63,DVC-1/DET-36/DDI-EA64,DVC-1/DET-37/DDI-0043,DVC-1/DET-37/DDI-0087,DVC-1/DET-37/DDI-000C,DVC-1/DET-37/DDI-019F,DVC-1/DET-37/DDI-01A1,DVC-1/DET-37/DDI-01A3,DVC-1/DET-37/DDI-EA60,DVC-1/DET-37/DDI-EA6F,DVC-1/DET-37/DDI-01AB,DVC-1/DET-37/DDI-EA62,DVC-1/DET-37/DDI-EA63,DVC-1/DET-37/DDI-EA64,DVC-1/DET-38/DDI-0043,DVC-1/DET-38/DDI-0087,DVC-1/DET-38/DDI-000C,DVC-1/DET-38/DDI-019F,DVC-1/DET-38/DDI-01A1,DVC-1/DET-38/DDI-01A3,DVC-1/DET-38/DDI-EA60,DVC-1/DET-38/DDI-EA6F,DVC-1/DET-38/DDI-01AB,DVC-1/DET-38/DDI-EA62,DVC-1/DET-38/DDI-EA63,DVC-1/DET-38/DDI-EA64,DVC-1/DET-39/DDI-0043,DVC-1/DET-39/DDI-0087,DVC-1/DET-39/DDI-000C,DVC-1/DET-39/DDI-019F,DVC-1/DET-39/DDI-01A1,DVC-1/DET-39/DDI-01A3,DVC-1/DET-39/DDI-EA60,DVC-1/DET-39/DDI-EA6F,DVC-1/DET-39/DDI-01AB,DVC-1/DET-39/DDI-EA62,DVC-1/DET-39/DDI-EA63,DVC-1/DET-39/DDI-EA64,DVC-1/DET-40/DDI-0043,DVC-1/DET-40/DDI-0087,DVC-1/DET-40/DDI-000C,DVC-1/DET-40/DDI-019F,DVC-1/DET-40/DDI-01A1,DVC-1/DET-40/DDI-01A3,DVC-1/DET-40/DDI-EA60,DVC-1/DET-40/DDI-EA6F,DVC-1/DET-40/DDI-01AB,DVC-1/DET-40/DDI-EA62,DVC-1/DET-40/DDI-EA63,DVC-1/DET-40/DDI-EA64,DVC-1/DET-41/DDI-0043,DVC-1/DET-41/DDI-0087,DVC-1/DET-41/DDI-000C,DVC-1/DET-41/DDI-019F,DVC-1/DET-41/DDI-01A1,DVC-1/DET-41/DDI-01A3,DVC-1/DET-41/DDI-EA60,DVC-1/DET-41/DDI-EA6F,DVC-1/DET-41/DDI-01AB,DVC-1/DET-41/DDI-EA62,DVC-1/DET-41/DDI-EA63,DVC-1/DET-41/DDI-EA64,DVC-1/DET-42/DDI-0043,DVC-1/DET-42/DDI-0087,DVC-1/DET-42/DDI-000C,DVC-1/DET-42/DDI-019F,DVC-1/DET-42/DDI-01A1,DVC-1/DET-42/DDI-01A3,DVC-1/DET-42/DDI-EA60,DVC-1/DET-42/DDI-EA6F,DVC-1/DET-42/DDI-01AB,DVC-1/DET-42/DDI-EA62,DVC-1/DET-42/DDI-EA63,DVC-1/DET-42/DDI-EA64,DVC-1/DET-43/DDI-0043,DVC-1/DET-43/DDI-0087,DVC-1/DET-43/DDI-000C,DVC-1/DET-43/DDI-019F,DVC-1/DET-43/DDI-01A1,DVC-1/DET-43/DDI-01A3,DVC-1/DET-43/DDI-EA60,DVC-1/DET-43/DDI-EA6F,DVC-1/DET-43/DDI-01AB,DVC-1/DET-43/DDI-EA62,DVC-1/DET-43/DDI-EA63,DVC-1/DET-43/DDI-EA64,DVC-1/DET-3/DDI-0086,DVC-1/DET-4/DDI-0086,DVC-1/DET-9/DDI-0086,DVC-1/DET-10/DDI-0086,DVC-1/DET-11/DDI-0086,DVC-1/DET-12/DDI-0086,DVC-1/DET-13/DDI-0086,DVC-1/DET-14/DDI-0086,DVC-1/DET-15/DDI-0086,DVC-1/DET-16/DDI-0086,DVC-1/DET-17/DDI-0086,DVC-1/DET-18/DDI-0086,DVC-1/DET-19/DDI-0086,DVC-1/DET-20/DDI-0086,DVC-1/DET-21/DDI-0086,DVC-1/DET-22/DDI-0086,DVC-1/DET-23/DDI-0086,DVC-1/DET-24/DDI-0086,DVC-1/DET-25/DDI-0086,DVC-1/DET-26/DDI-0086,DVC-1/DET-27/DDI-0086,DVC-1/DET-5/DDI-0087,DVC-1/DET-6/DDI-0087,DVC-1/DET-9/DDI-0087,DVC-1/DET-12/DDI-0087,DVC-1/DET-13/DDI-0087,DVC-1/DET-14/DDI-0087,DVC-1/DET-15/DDI-0087,DVC-1/DET-16/DDI-0087,DVC-1/DET-17/DDI-0087,DVC-1/DET-18/DDI-0087,DVC-1/DET-19/DDI-0087,DVC-1/DET-28/DDI-0087,DVC-1/DET-29/DDI-0087,DVC-1/DET-30/DDI-0087,DVC-1/DET-31/DDI-0087,DVC-1/DET-32/DDI-0087,DVC-1/DET-33/DDI-0087,DVC-1/DET-34/DDI-0087,DVC-1/DET-35/DDI-0087,DVC-1/DET-44/DDI-0087,DVC-1/DET-45/DDI-0087,DVC-1/DET-46/DDI-0087,DVC-1/DET-47/DDI-0087,DVC-1/DET-48/DDI-0087,DVC-1/DET-49/DDI-0087,DVC-1/DET-50/DDI-0087,DVC-1/DET-51/DDI-0087,DVC-1/DET-3/DDI-008F,DVC-1/DET-2/DDI-009D,DVC-2000000/DET-2000002/DDI-F23E,DVC-1/DET-4/DDI-016F,DVC-2000000/DET-2000002/DDI-0046,DVC-2000000/DET-2000001/DDI-0086,DVC-2000000/DET-2000001/DDI-0087,DVC-2000000/DET-2000000/DDI-008D,DVC-2000000/DET-2000001/DDI-009D,DVC-1/DET-3/DDI-0052,DVC-1/DET-3/DDI-0074,DVC-1/DET-4/DDI-0050,DVC-1/DET-4/DDI-0074,DVC-1/DET-1/DDI-0077,DVC-1/DET-3/DDI-0077,DVC-1/DET-4/DDI-0077,DVC-2000000/DET-2000002/DDI-F243,DVC-2000000/DET-2000002/DDI-F231,DVC-2000000/DET-2000002/DDI-0096,
 2024-04-16 13:36:38.854,40.6522041,-89.3596217,237.326,0.9,1.7,36, 18:36:38.750Z, 2024-04-16,42,,,950000,,,,6410,861000,139000,,189300,,,,,953400,,,7405,,,,175800,355,,,710000,,,,7499,,,,193600,-355,,920000,810000,,,,7131,,,,185100,,,1000000,960000,,,,7072,,,,176900,889,,,920000,986300,,,4697,,,,183400,-44,,1000000,800000,,,,7302,,,,176400,,,,730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,,,,,,,,,911000,122956,0,0,3731,3731,0,,252308,325,
 2024-04-16 13:36:39.869,40.6521774,-89.3596216,237.308,0.9,1.7,36, 18:36:39.750Z, 2024-04-16,46,449,,870000,,,,6609,,,,188800,934,475,,950000,,,,7635,,,,174600,133,515,,980000,,,,7777,,,,190900,-311,498,1000000,780000,,,,7305,,,,184100,-578,542,,940000,969200,,,7241,,30000,,175900,667,649,,830000,,,,4803,623400,376600,,181600,355,524,920000,960000,,,,7440,,,,174900,-44,511,,740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,256180,320,
 2024-04-16 13:36:40.876,40.6521506,-89.3596215,237.292,0.9,1.7,36, 18:36:40.750Z, 2024-04-16,38,,,960000,,,,6428,,,,187200,756,,,560000,,,,7455,,,,173200,44,,920000,790000,973300,,,7545,,,,189500,-355,,,420000,969500,,,7173,,,,183400,-711,,,900000,979500,,,7116,,,,175300,355,,,670000,,,,4726,,,,180100,-44,,1000000,780000,984000,,,7354,,,,173900,-177,,,940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,263412,311,
 2024-04-16 13:36:41.882,40.6521214,-89.3596213,237.292,0.9,1.7,36, 18:36:41.750Z, 2024-04-16,51,449,920000,710000,989700,,,6380,850500,149500,,185800,,475,,810000,,,,7459,,,6600,171800,-88,515,1000000,800000,,,,7507,,,,188200,-400,498,920000,820000,,,,7160,,,,182200,-622,542,960000,680000,,,,7071,,,,173700,400,649,840000,520000,,,,4732,,,,178000,0,524,640000,630000,,,,7356,,,,172700,-133,511,840000,510000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,-1,,,,,,,,,,,,,,271586,302,
 2024-04-16 13:36:42.898,40.652097,-89.3596214,237.274,0.9,1.7,36, 18:36:42.800Z, 2024-04-16,46,,1000000,790000,,,,6371,,,,185500,845,,,850000,,,,7452,,,,172300,222,,,570000,963300,,,7473,,,,188000,-489,,960000,600000,,,,7156,,16500,,182000,-667,,1000000,870000,,,,7022,956900,43100,,174500,311,,880000,410000,975600,,,4673,610600,389400,,178400,88,,920000,470000,,,,7342,,,,173100,0,,1000000,720000,953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,271741,301,
 2024-04-16 13:36:43.906,40.6520704,-89.3596214,237.258,0.9,1.7,36, 18:36:43.850Z, 2024-04-16,44,556,,820000,,,,6569,,,,185200,1067,480,,730000,968500,,,7672,,,,171600,400,578,880000,630000,,,,7753,,,,187000,-355,529,1000000,800000,,,,7407,983500,,,181700,,507,,850000,,,,7254,,,,173500,355,484,1000000,760000,,,,4820,,,,177700,311,551,,390000,,,,7556,,,,172800,88,520,920000,880000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240173,341,
 2024-04-16 13:36:44.909,40.6520446,-89.3596215,237.234,0.9,1.7,36, 18:36:44.850Z, 2024-04-16,37,,,920000,,,,6200,,,,184200,978,,,850000,984200,,,7223,,,,169200,177,,1000000,430000,,,,7330,,,,185400,-266,,,750000,,,,7046,,,,180700,-533,,960000,970000,,,,6889,,,,172600,,,,910000,,,,4648,596700,403300,,175900,88,,1000000,720000,,,,7360,,,,171400,133,,,530000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,234021,350,
 2024-04-16 13:36:45.911,40.6520188,-89.3596215,237.224,0.9,1.7,36, 18:36:45.850Z, 2024-04-16,42,,840000,900000,,,,6360,837300,162700,,182900,889,,920000,810000,,,,7452,,,,167200,44,,,620000,,,,7486,,,,184100,-355,,920000,740000,,,,7173,,,,179300,-622,,1000000,870000,,,,7043,,,,171400,177,,,940000,,,,4686,586700,413300,,174300,0,,920000,640000,,,,7363,,,,169900,44,,,480000,942700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,241123,340,
 2024-04-16 13:36:46.915,40.6519927,-89.3596216,237.219,0.9,1.7,36, 18:36:46.850Z, 2024-04-16,51,556,1000000,790000,,,,6343,,,0,182000,934,480,1000000,770000,,,,7466,,,,167100,88,578,960000,490000,950300,,,7508,,,,183900,-311,529,,860000,959400,,,7162,,,,178700,-711,507,880000,840000,,,,7052,,,,171300,44,484,920000,520000,,,,4713,,,0,173000,-88,551,1000000,920000,,,,7367,,,,169100,88,520,1000000,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,235133,348,
 2024-04-16 13:36:47.927,40.6519664,-89.3596214,237.221,0.9,1.7,36, 18:36:47.850Z, 2024-04-16,45,449,920000,740000,,,,6359,,,,182500,711,,,720000,,,,7443,990100,,,167600,,458,1000000,650000,,,,7466,,23100,,185500,,556,,620000,,,,7144,970100,26600,,178900,,587,1000000,780000,,,,7050,,,,172700,88,431,,470000,965200,,,4656,,,,173600,0,640,,760000,,,,7386,,,,169100,-44,489,920000,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,237007,346,
 2024-04-16 13:36:48.930,40.6519399,-89.3596214,237.255,0.9,1.7,36, 18:36:48.850Z, 2024-04-16,38,,1000000,650000,,,,6366,850000,150000,,182600,978,,,980000,,,,7445,,,,166700,222,,920000,950000,,,,7473,,,,186900,-222,,1000000,600000,949300,,,7173,,,,178500,-533,,,820000,,,,7050,,,,172400,44,,1000000,940000,,,,4624,,,,173900,,,,740000,,,,7372,,,,169700,0,,1000000,620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233902,350,
 2024-04-16 13:36:49.955,40.6519131,-89.3596213,237.235,0.9,1.7,36, 18:36:49.850Z, 2024-04-16,33,,,910000,,,,6339,,,,181800,756,,,,,,,7450,,,,165700,177,,1000000,1000000,,,,7452,950200,,,187800,-355,,,850000,,,,7151,,,,178800,-622,,,,,,,7088,,,,172300,,,,870000,,,,4600,,,,174200,-88,,920000,370000,,,,7398,,,,171100,-88,,,490000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,0,246964,332,
 2024-04-16 13:36:50.963,40.6518855,-89.3596213,237.238,0.9,1.7,36, 18:36:50.900Z, 2024-04-16,32,,,1000000,979700,,,6307,,,,181200,489,,,1000000,,,,7434,,,,164300,133,,,,,,,7376,,,26400,186700,-444,,,1000000,,,,7084,,,,177900,-667,,,,969200,,,7005,,,,171400,0,,,320000,,,,4559,,,,173200,,,1000000,740000,,,,7333,,,,169600,,,,760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,249417,328,
 2024-04-16 13:36:51.968,40.6518593,-89.3596213,237.209,0.9,1.7,36, 18:36:51.900Z, 2024-04-16,49,484,920000,850000,,,,6342,,,,179100,444,547,,970000,,,,7439,,,,163500,-44,604,,770000,,,,7428,960400,,,185400,-400,547,,970000,,,,7132,,,,177000,-711,462,,960000,,,,7082,946700,53300,,168900,-88,524,800000,290000,954200,,,4607,,,,172100,-44,489,920000,490000,,,,7365,,,,168000,-266,627,920000,460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,-1,,,,,,,,,,,,,,233961,350,
 2024-04-16 13:36:52.972,40.6518346,-89.3596214,237.217,0.9,1.7,36, 18:36:52.850Z, 2024-04-16,34,,1000000,970000,,,,6130,,,,178200,489,,,1000000,,,,7247,,,,164200,133,,,820000,,,,7263,,,,185200,-311,,,930000,,,,7036,,,,177200,-667,,,1000000,,,,6895,,,,169200,,,,340000,,,,4603,,,,172100,-133,,,910000,,,,7314,,,,168400,-222,,1000000,550000,932400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,238940,343,
 2024-04-16 13:36:53.975,40.6518102,-89.3596215,237.248,0.9,1.7,36, 18:36:53.850Z, 2024-04-16,37,,,980000,969600,,,6340,,,,177200,444,,,880000,,,,7464,,,,163300,266,,,760000,,,,7471,,,,184300,-266,,,1000000,,,,7149,,,,175100,-578,,920000,810000,,,,7082,933600,66400,,168000,311,,1000000,900000,,,,4629,,,,170700,0,,1000000,860000,,,,7377,,,,167400,44,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357057,229,
 2024-04-16 13:36:54.996,40.6517867,-89.3596216,237.222,0.9,1.7,36, 18:36:54.950Z, 2024-04-16,36,,,1000000,,,,6328,860000,140000,,175900,311,,,970000,,,,7470,,,,161600,177,,,950000,,,,7508,,,,182800,-311,,,,,,,7166,,,,174100,-622,,1000000,1000000,,,,7090,,,,167100,44,,,910000,,,,4674,573400,426600,,169300,-133,,,900000,,,,7404,,,,167000,177,,,640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,257290,318,
 2024-04-16 13:36:55.999,40.6517658,-89.3596216,237.193,0.9,1.7,36, 18:36:55.950Z, 2024-04-16,43,391,,,,,,6311,870500,129500,,175400,222,507,,980000,,,,7455,,,,,133,511,,960000,,,,7530,,,13200,182600,-355,467,,,,,,7126,,,,173700,,413,,,,,,7105,943600,56400,,166400,-222,467,,1000000,,,,4647,,,,169500,-44,431,960000,980000,994100,,,7392,,,,167100,-44,435,920000,930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,198497,413,
 2024-04-16 13:36:57.001,40.6517463,-89.3596217,237.193,0.9,1.7,36, 18:36:56.900Z, 2024-04-16,46,391,,,,,,6315,883800,116200,,176000,,507,,660000,,,,7440,,0,,161800,,511,920000,690000,,,,7534,,,,183100,-311,467,920000,920000,,,,7153,,,,173600,-667,413,,750000,,,,7113,,,0,166600,0,467,920000,850000,,,,4690,,,,169000,222,431,840000,800000,,,,7372,,,,167900,88,435,1000000,910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,215359,380,
 2024-04-16 13:36:58.007,40.6517257,-89.3596217,237.151,0.9,1.7,36, 18:36:57.900Z, 2024-04-16,40,,,,,,,6364,,,,175900,311,,,720000,,,,7455,,,,161100,311,,960000,960000,,,,7485,950400,33100,,182000,-222,,1000000,1000000,,,,7189,,,,174300,,,960000,740000,,,,7089,,,,166100,222,,1000000,890000,,,,4674,596100,403900,,167400,-44,,1000000,870000,,,,7372,,,0,168200,-266,,,,942500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,191708,427,
 2024-04-16 13:36:59.010,40.6517058,-89.3596218,237.153,0.9,1.7,36, 18:36:58.900Z, 2024-04-16,34,,,960000,,,,6334,,,,175500,578,,,830000,,,,7459,,,,161100,177,,920000,730000,,,,7530,,,23300,182800,-177,,960000,850000,,,,7198,,,,,-578,,1000000,780000,,,,7116,,,,165900,400,,,900000,,,,4715,,,,167200,88,,,1000000,,,,7373,,,,,-133,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,236812,346,
 2024-04-16 13:37:00.016,40.6516881,-89.3596216,237.155,0.9,1.7,36, 18:36:59.900Z, 2024-04-16,41,547,,980000,,,,6365,,,,176300,400,489,,900000,,,,7436,,,,161400,222,449,1000000,860000,,,,7539,,,,183000,-311,435,1000000,860000,962100,,,7174,,,,174200,-756,556,,950000,,,,7090,,,,166300,88,458,,910000,,,,4690,,,,166500,44,698,,540000,,,,7336,,,,167700,,560,,960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272077,301,
 2024-04-16 13:37:01.020,40.6516735,-89.3596215,237.157,0.9,1.7,36, 18:37:00.950Z, 2024-04-16,33,,,1000000,,,,6389,,,,175100,222,,,1000000,,,,7444,,,,161800,,,,970000,,,,7540,940300,,,,,,,1000000,,,,7192,,,,174100,-667,,,1000000,,,,7108,,,,166400,0,,,,,,,4742,611300,388700,,166500,-133,,,820000,,,,7372,,,,167200,-88,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,0,,,,,,,,,8,252200,325,
 2024-04-16 13:37:02.029,40.6516603,-89.3596217,237.149,0.9,1.7,36, 18:37:01.950Z, 2024-04-16,72,547,0,0,0,,,0,0,0,,0,133,489,0,0,0,,,0,0,,,0,88,449,0,0,0,,,0,0,0,0,0,-400,435,0,0,0,,,0,0,0,,0,-800,556,0,0,0,,,0,0,0,,0,-133,458,0,0,0,,,0,0,0,,0,-311,698,0,0,0,,,0,0,0,,0,-355,560,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,-1,,,,,,,,,,,,,4,133220,615,
 2024-04-16 13:37:03.034,40.6516468,-89.3596221,237.186,0.9,1.7,36, 18:37:02.950Z, 2024-04-16,11,,,,,,,,,,,,44,,,,,,,,,,,,311,,,,,,,,,,,,-222,,,,,,,,,,,,-533,,,,,,,,,,,,44,,,,,,,,,,,,133,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,0,174262,470,
 2024-04-16 13:37:04.049,40.6516339,-89.3596231,237.186,0.9,1.7,36, 18:37:03.950Z, 2024-04-16,14,569,,,,,,,,,,,,,,,,,,,,,,,133,444,,,,,,,,,,,,449,,,,,,,,,,,-667,404,,,,,,,,,,,0,471,,,,,,,,,,,-44,493,,,,,,,,,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,148217,553,
 2024-04-16 13:37:05.049,40.6516205,-89.3596259,237.221,0.9,1.7,36, 18:37:04.950Z, 2024-04-16,10,,,,,,,,,,,,133,,,,,,,,,,,,222,,,,,,,,,,,,-88,,,,,,,,,,,,-355,,,,,,,,,,,,177,,,,,,,,,,,,177,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,115350,711,
 2024-04-16 13:37:06.051,40.6516069,-89.3596314,237.224,0.9,1.7,36, 18:37:05.950Z, 2024-04-16,11,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,-44,,,,,,,,,,,,-44,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,2,174226,470,
 2024-04-16 13:37:07.070,40.651593,-89.359642,237.213,0.9,1.7,36, 18:37:06.950Z, 2024-04-16,23,569,,,,,,0,,,,,,489,,,,,,0,,,,,,444,,,,,,0,,,,,0,449,,,,,,0,,,0,,0,404,,,,,,0,,,,,,471,,,,,,0,,,,,,493,,,,,,0,,,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,-1,,,,,,,,,,,,,8,171832,477,
 2024-04-16 13:37:08.082,40.6515798,-89.3596583,237.218,0.9,1.7,36, 18:37:07.950Z, 2024-04-16,12,253,,,,,,,,,,,,120,,,,,,,,,,,,31,,,,,,,,,,,,93,,,,,,,,,,,,146,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,5,214522,382,
 2024-04-16 13:37:09.084,40.6515693,-89.3596808,237.228,0.9,1.7,36, 18:37:09.050Z, 2024-04-16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916000,123641,0,0,3756,3756,0,1,258848,316,
 2024-04-16 13:37:10.088,40.6515647,-89.3597014,237.255,0.9,1.7,36, 18:37:10.050Z, 2024-04-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,4,248868,329,
 2024-04-16 13:37:11.098,40.6515638,-89.359728,237.276,0.9,1.7,36, 18:37:11.050Z, 2024-04-16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,249355,328,
 2024-04-16 13:37:12.100,40.6515682,-89.3597515,237.285,0.9,1.7,36, 18:37:12.050Z, 2024-04-16,20,0,,,,,,0,,,,,,57,,,,,,0,,,0,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,3,285591,287,
 2024-04-16 13:37:13.102,40.6515773,-89.3597727,237.296,0.9,1.7,36, 18:37:13.050Z, 2024-04-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,4,263713,311,
 2024-04-16 13:37:14.105,40.6515903,-89.3597903,237.304,0.9,1.7,36, 18:37:14.050Z, 2024-04-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,1,281965,290,
 2024-04-16 13:37:15.108,40.6516061,-89.3598027,237.307,0.9,1.7,36, 18:37:15.050Z, 2024-04-16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,277770,295,
 2024-04-16 13:37:16.109,40.6516239,-89.3598097,237.307,0.9,1.7,36, 18:37:16.050Z, 2024-04-16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285159,287,
 2024-04-16 13:37:17.111,40.6516424,-89.3598105,237.324,0.9,1.7,36, 18:37:17.050Z, 2024-04-16,22,0,,,,,,0,,,0,,,57,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,-1,,,,,,,,,,,,,3,300944,272,
 2024-04-16 13:37:18.116,40.6516605,-89.3598051,237.299,0.9,1.7,36, 18:37:18.050Z, 2024-04-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,4,294454,278,
 2024-04-16 13:37:19.122,40.6516777,-89.3597942,237.285,0.9,1.7,36, 18:37:19.050Z, 2024-04-16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,2,272863,300,
